emp_no,first_name,second_name,department,wage,project_completion_rate
62,Tiffany,Pierce,HR,82379.05,61.72095453418814
63,Brian,Roberts,Testing,32813.37,53.24328037752359
64,Carol,Garcia,IT,54713.67,39.02995642412711
65,Eric,Coleman,HR,34993.32,41.85399006780526
66,Christina,Brown,IT,11155.14,60.421998319763134
67,Heather,Watkins,Testing,82855.03,50.774175370470886
68,Valerie,Kelly,Sales,8551.08,47.22700986314684
69,Bradley,Thompson,IT,56080.09,47.47665380692979
70,Beverly,Pierce,Sales,14710.65,53.93466948471756
71,Glenn,Jackson,HR,66534.17,43.88588627521012
72,Lisa,Martin,HR,10937.48,43.5322462981289
73,Jacob,Yu,Testing,73416.19,67.12774076520319
74,Donna,Berger,Sales,61681.1,56.88219804288486
75,Christopher,Young,HR,1956.72,46.40479612550638
76,Brittney,Cox,HR,80629.29,44.41131004678635
77,Robert,Jackson,Research,7881.87,63.40570669447702
78,Chad,Heath,Research,84196.9,31.705746546752454
79,Lisa,Smith,Sales,21561.18,49.890126101425416
80,Samantha,Mcconnell,HR,2979.32,42.06326137476776
81,Joseph,Owen,Research,48904.81,62.75286874062674
82,Joshua,Hendricks,Research,20027.89,46.54649511041966
83,Scott,Cruz,Testing,15124.79,44.66167843902656
84,Joel,Henderson,Testing,43427.52,40.271039055090114
85,Chris,Fisher,IT,51241.79,70.40754373888167
86,Alan,Smith,Sales,12104.7,51.93320982476919
87,David,Watkins,Research,39937.32,45.72734583939473
88,Matthew,Gomez,Research,82538.68,64.06149616701842
89,Jean,Cummings,IT,70154.56,36.03516523751138
90,Sally,Becker,Research,35337.02,60.227143041588974
91,Thomas,Sanchez,HR,47671.55,48.135711338702436
92,Mr.,Mark,Sales,4954.14,30.004243820767428
93,Penny,Atkinson,Testing,21218.1,57.50402609990955
94,Tina,Green,IT,98682.36,47.79213278077296
95,Stephanie,Smith,Testing,14143.16,58.05846847844346
96,Steven,Hill,Testing,44596.03,34.68526828370728
97,Aaron,Knapp,IT,7173.91,42.56960245972408
98,Sean,Brown,Testing,63227.56,42.297898445473386
99,Patricia,Andrade,Research,56325.19,53.392001856436565
100,Keith,Douglas,Research,91043.08,56.06516736823332
101,Eric,Morris,HR,92032.14,57.38835515427023
102,Derek,Wilson,Sales,891.88,47.04203447835993
103,Connie,Yang,Sales,76690.3,35.965577702394086
104,Leah,Reed,Testing,27471.47,52.534878609071285
105,Sean,Vargas,IT,45820.53,53.35641531825037
106,Tyler,Jacobson,HR,40238.5,52.37422206058373
107,Andrew,Mcclain,Research,25797.12,41.67229627816585
108,Matthew,Allen,Research,58480.28,40.36209033095007
109,Jasmine,West,Sales,25193.23,56.815960866052464
110,Richard,Morrison,Sales,92979.61,50.89069329624456
111,Michelle,Williams,Sales,28446.83,38.584919326025414
112,Steven,Hensley,Testing,67864.96,59.20713713667767
113,Courtney,Daniels,IT,2433.03,54.28299106062217
114,Jeremy,Johnson,HR,37363.98,52.07483650583389
115,Carmen,Ortiz,HR,75368.03,63.18398845196526
116,Karen,Turner,IT,39425.41,77.46182451174907
117,Joshua,Smith,Research,95857.99,66.18164334054762
118,Jessica,Kelly,Research,55413.47,40.95520155335735
119,Kimberly,Martin,Research,48929.66,67.72312438288665
120,Debra,Reynolds,Research,3408.72,21.565277748027782
121,Jaime,Murray,HR,85455.04,53.77331357101431
122,Philip,Duffy,Sales,78968.03,42.563550787957546
123,Dawn,Flynn,HR,57637.67,39.12498217773594
124,Evan,Scott,HR,44526.26,45.972095770294175
125,Madison,Sullivan,Research,95383.74,66.00716047017701
126,Melissa,Rodriguez,HR,19239.26,50.59402000801947
127,Francis,Jones,IT,48677.01,49.61726622232598
128,Deborah,Wilkinson,Sales,79897.71,37.199783495124514
129,James,Sims,Sales,79574.15,35.733962235580776
130,Paige,Smith,Research,34140.51,49.5605893485046
131,Gary,Serrano,Research,49724.4,69.34220735858517
132,Mike,Roberts,Sales,52566.77,26.431228611044276
133,Stephanie,Bryant,Research,45121.72,50.812348125014154
134,Sara,Cunningham,HR,37389.89,48.233816514817924
135,John,Camacho,Testing,6049.53,53.63874622911445
136,Derek,Hurst,HR,52630.91,49.08529675615718
137,Donna,Weiss,IT,24395.07,47.03646636216715
138,Breanna,Joyce,Sales,14020.7,50.44504523436563
139,Barbara,Brown,IT,98526.82,47.06802768962909
140,Shawn,Farmer,Testing,75529.61,56.29166796974473
141,Tina,Jimenez,HR,44552.24,58.89885155118954
142,Jessica,Long,HR,36842.98,60.88007286629522
143,Anthony,Kelly,Sales,90946.37,48.48894792291073
144,Nicholas,Cook,IT,39922.52,41.01254163309567
145,Abigail,Ochoa,IT,86956.36,41.46391365436912
146,Joshua,Best,Sales,75780.43,42.17016855307367
147,William,Sanders,IT,61242.32,55.26069256543062
148,Kimberly,Fischer,Testing,74626.17,45.87211703832895
149,Tyler,Gibson,Research,1835.41,67.42340011914186
150,Jason,Guzman,IT,51054.11,61.98863419940661
151,Melissa,Gonzales,Testing,45318.45,52.64708338754279
152,Stephanie,Gay,HR,1181.41,57.12414258953922
153,Ian,King,Testing,25105.46,44.50975821147601
154,Elizabeth,Ruiz,Testing,5097.52,49.42132623174887
155,Crystal,Miller,HR,58868.65,56.65727682711324
156,Beverly,Smith,HR,11952.93,52.99573540007717
157,Christina,Salinas,HR,83045.38,49.51120598731983
158,Raymond,Donaldson,Testing,73012.04,43.772401686072214
159,Cheryl,Brooks,HR,71288.52,34.33601447522818
160,Tammy,Paul,Research,85403.21,57.32583052922559
161,Michael,Cantrell,Testing,7637.6,66.00446938674847
162,Ian,Bernard,HR,18402.06,35.74594155944966
163,Michael,Sullivan,Sales,77304.44,35.2611881933365
164,Tara,Trevino,IT,33022.79,43.87976936579331
165,Heather,Howard,Sales,37715.09,47.806881667187156
166,Laura,Harvey,Sales,73191.98,51.31068708595035
167,Jared,Harper,Research,95087.63,72.34518650937719
168,Tara,Fleming,Testing,44481.03,54.81263584187999
169,Emily,Salas,HR,57041.36,68.82608994562382
170,Donald,Torres,Sales,37755.71,31.690986378471035
171,Chelsea,Payne,Sales,9310.76,15.716809303953625
172,Chelsea,Russell,IT,30492.66,53.38432631963737
173,Michael,Cobb,Testing,63327.22,42.58438930757191
174,Maureen,Moreno,Research,68667.14,52.30124516513829
175,Timothy,Wood,IT,74963.54,60.024880741420134
176,Timothy,Lawson,HR,11161.89,41.15122436972961
177,Desiree,Williams,HR,77315.42,54.88433804936349
178,Jill,Simon,Sales,32056.77,48.26700131185583
179,Amy,Irwin,Sales,43688.57,63.55685988557328
180,Benjamin,Johnson,Sales,82554.86,62.47044684636103
181,Theresa,Jackson,Sales,35668.69,47.19108799291275
182,Nicholas,Pham,HR,25095.7,37.76664853630187
183,Christopher,Herrera,IT,15653.73,44.01567464132546
184,Amy,Carter,Sales,61344.77,52.4929131550603
185,Jonathan,Taylor,IT,90902.73,30.772496194166774
186,Ronnie,Medina,Sales,83580.31,41.9339867327739
187,Mark,Baker,Research,20274.75,46.06681740857391
188,Susan,Kennedy,Sales,40565.3,59.12495301172762
189,Mary,Freeman,HR,22041.22,63.79948049923816
190,Randy,Tucker,Testing,74638.09,33.06014350798611
191,John,Landry,HR,67053.85,41.045923388779066
192,David,Perez,Research,57064.79,48.994716338158
193,Lisa,Adams,IT,53.87,47.988520930556255
194,Leonard,Woodard,Research,87517.16,62.72181391633485
195,Shane,Crawford,Testing,79283.4,61.84612703901599
196,Jennifer,Daniels,Research,98074.0,37.306206503204876
197,Heather,Fletcher,Sales,70637.59,53.07384387531073
198,Jerome,Perry,Research,78337.2,49.191863341804265
199,Shelby,Reeves,Testing,60181.25,36.111515837687506
200,Danny,Camacho,Research,68600.46,47.16264381281722
201,Michael,Ryan,Testing,75389.82,65.18589743051636
202,Michael,Ward,Research,41277.3,37.7499206626936
203,Martin,Mullen,Research,66817.47,35.45114266448916
204,Riley,Woodard,HR,28288.35,43.245831904790904
205,Melinda,Hendricks,Research,95577.63,38.513017951179656
206,Sara,Tran,HR,61456.72,18.070196100478864
207,Tara,Spencer,IT,53566.83,62.55773015494074
208,Eric,Morales,Research,94731.56,47.59826034092968
209,Olivia,Gilmore,Research,45635.69,42.26122837383937
210,Laura,Hall,Testing,51724.11,61.28859312411706
211,Christopher,Zimmerman,Sales,47321.04,55.2346190708548
212,Joseph,Miller,Research,85862.1,50.73718985041786
213,Dr.,Terri,HR,89485.9,52.49254301819246
214,Rebecca,Davenport,Research,71419.35,67.15270692928158
215,Joy,Davis,IT,70675.48,37.96675293377689
216,Sean,Fisher,Testing,98858.44,57.25945007643443
217,Anthony,Davis,HR,89024.33,36.124361311908864
218,Tara,James,HR,4744.59,35.54890586640005
219,John,Hebert,IT,4949.95,50.61973717671677
220,Susan,Harris,HR,39428.93,31.380420164367205
221,Jacqueline,Harris,HR,77400.6,45.31582850794665
222,Eric,Scott,Sales,35222.97,58.90815365414092
223,Brendan,Price,Testing,96502.55,57.62777758451956
224,Amy,Garza,IT,28187.47,54.026702097069474
225,Julie,Lambert,HR,87062.36,42.78708738230854
226,David,Wilson,Research,50602.1,48.32587210980894
227,Paul,Wilson,Sales,50612.08,45.97600126652456
228,Daniel,Short,Research,88513.2,63.78928595282439
229,Whitney,Jones,Testing,36434.61,57.41775230000308
230,Anthony,Santos,IT,17294.32,55.606288286632925
231,Debra,Rush,Testing,84251.52,56.32918826323141
232,Julie,Hopkins,HR,59658.32,53.07218791287698
233,Ryan,Brown,Sales,74248.92,47.8243461714852
234,Erin,Cooper,Sales,9618.18,47.148244854030786
235,Wesley,Carr,Sales,69199.44,49.659256447494485
236,Abigail,Campbell,HR,39457.4,66.65098993314668
237,Michael,Medina,Research,24317.86,44.7138923916132
238,Allison,Miller,HR,36437.18,38.06707714436226
239,Sherry,Hill,Research,92533.6,66.37967367493144
240,Melinda,Black,IT,9046.72,52.82131619961454
241,Joanna,Mason,HR,71910.16,36.90185352028722
242,Samantha,Evans,Testing,60275.16,42.6442961359236
243,Taylor,Lyons,HR,78001.16,37.054213976699444
244,Christine,Diaz,IT,55523.31,53.941579845471985
245,Kimberly,Rowe,Research,787.21,35.32361522841427
246,Steven,White,Research,69330.21,52.06307349552479
247,Steven,Myers,IT,61246.41,55.820150161244825
248,Roberto,Hess,HR,91441.6,73.41803680734101
249,Tony,Woodard,IT,46990.17,27.68133840812069
250,Debra,Frazier,HR,42418.51,54.573298478584725
251,Rebecca,Miller,IT,45215.08,41.122801732597736
252,Lisa,Young,Research,37109.98,25.320199924919145
253,Eric,Perry,Testing,18765.03,50.7982312172817
254,Kimberly,Perez,HR,29829.86,65.74745775904373
255,Robert,Mcdonald,IT,79926.32,67.00263601985
256,Lisa,Gomez,IT,63617.65,54.8503867673861
257,Jason,Santana,Testing,6713.02,55.960863308331156
258,Stephanie,Gonzalez,Sales,78773.64,40.219028840049546
259,Angela,Thornton,Research,89534.77,49.22525820938624
260,David,Williams,Sales,44924.4,29.340662094667746
261,Natalie,Ward,Sales,82895.49,43.78777926161585
262,Ashley,Myers,Testing,14821.89,55.06176580524301
263,Margaret,Leonard,Research,55348.2,49.85408429945659
264,Daniel,Collins,Testing,71198.18,57.44083462436819
265,Haley,Roberts,Testing,64018.44,35.15521057500396
266,Brian,Kennedy,HR,97163.84,40.96810483109244
267,James,Lawrence,HR,49196.69,59.981532702442045
268,Chad,Douglas,IT,456.9,44.32570582579966
269,Glenn,Stephens,Research,56554.64,43.22271461982464
270,Maria,Stevens,Testing,19092.79,38.96720786305498
271,Paul,Wall,Research,27099.22,47.246890469427825
272,Angela,Richardson,Testing,76402.97,70.50935853217283
273,John,Sparks,HR,40633.92,45.47367885638987
274,Jennifer,Harris,IT,69724.86,43.669005390608
275,Michael,Lane,Testing,80139.68,63.35660448614982
276,Wendy,Bush,Research,14058.19,38.71980133673398
277,Lawrence,Wong,Sales,48163.78,46.108794021767274
278,David,Parker,Research,62382.79,59.311809547789984
279,Jerry,Smith,Sales,34286.97,73.3400071634519
280,Donald,Bell,Sales,23236.12,38.0048433459086
281,Lindsay,Martinez,HR,1510.29,54.32492306434412
282,Peter,Miller,IT,36115.76,49.46519661043179
283,Tyler,Wilson,HR,74909.99,73.18897021407828
284,Chris,Hughes,Testing,92278.62,37.79621752526613
285,Andrew,Taylor,Sales,33656.85,50.125308972884774
286,Amanda,Mora,Research,66875.71,60.3281390694162
287,Christopher,Martinez,IT,71330.9,60.675826530011996
288,Susan,Watson,Sales,39778.39,58.67614944533884
289,Kimberly,Gonzalez,HR,84006.11,71.6844546761617
290,Ashley,Gray,HR,29998.13,48.36743419510514
291,Jorge,Wilson,Research,40282.37,61.35541002949742
292,Vernon,Steele,IT,33783.72,58.11403792094545
293,Brandy,Davis,Research,29331.87,55.20774980636487
294,Patricia,Combs,HR,21682.51,51.93716201138671
295,Melissa,Shelton,Testing,30665.85,32.53276984818487
296,Sandra,Morgan,Sales,67836.7,43.611596805257435
297,William,Hill,IT,90412.71,44.519552894365994
298,Melissa,Ruiz,Testing,24730.01,57.67315196526714
299,Rick,Valdez,Research,43579.83,49.79597797457597
300,Frank,Lopez,IT,39712.27,55.44741969686536
301,Ryan,Phillips,Research,81592.21,57.53942633224655
302,Larry,Morris,Testing,69017.97,55.27119302069204
303,Charles,Greer,Research,65168.09,41.30841352722552
304,Luke,Wilson,Testing,19561.93,59.96094879706024
305,Jason,Flores,IT,37110.06,48.02290514881789
306,Vincent,Molina,Testing,25925.6,52.76176364756659
307,Chad,Harris,Testing,33041.94,41.15161440876022
308,Emily,Anderson,IT,32729.55,41.2393376740709
309,Haley,Scott,Sales,9498.36,52.779010540444006
310,Jennifer,Cooper,HR,50916.0,55.94551729733653
311,Jerry,Mathews,HR,46866.97,44.753159018720105
312,Jason,Richards,Sales,44283.0,56.23470859260688
313,Tonya,Wilson,Research,93668.64,55.101024967875595
314,Kelly,Cooper,HR,18103.36,47.621671239165266
315,Dillon,Thomas,IT,3230.35,49.61722892034761
316,Shannon,Garner,IT,23461.99,40.017458746049826
317,Christine,Rodriguez,HR,51471.47,39.169790714691196
318,Tiffany,Frost,Research,38520.51,51.77957205902239
319,James,Stark,HR,78652.01,58.65187594040696
320,Nicole,Rubio,Testing,17173.93,49.73337826272436
321,Christine,Escobar,Testing,90944.15,47.19214950102654
322,Lisa,Bishop,Research,80118.37,47.49067330578721
323,Justin,Weaver,Testing,82893.09,50.39078838228733
324,Jay,Parks,HR,92392.09,60.72907413362097
325,Beverly,Stein,Sales,35173.7,59.92516987451836
326,Michelle,Wright,HR,93471.18,36.59483440584822
327,Nicholas,Clark,Sales,69927.99,49.59783874968265
328,Robert,Brown,IT,39549.54,39.064772167967575
329,Chelsea,Moore,Testing,76321.56,44.596491227416976
330,Jennifer,Mora,HR,95376.47,46.61314955229666
331,Susan,Fox,Sales,7766.55,42.161610058690975
332,Veronica,Patel,HR,54674.76,54.119934192647065
333,Amanda,Miller,IT,36211.3,41.16416762866367
334,Daniel,Chavez,Sales,78357.96,57.31184052597025
335,Joseph,Diaz,Testing,29406.17,34.776183670570674
336,John,Mejia,IT,22779.78,41.5614775082236
337,Jacob,Williams,Research,76368.18,43.68049511324593
338,Derek,Sandoval,IT,16745.32,45.78181503091326
339,Jill,Rodriguez,Sales,97597.56,58.87182910692058
340,Hayley,Alexander,Sales,55365.0,49.313343350757414
341,Chad,Huerta,Research,69767.5,48.50529145317259
342,Stephanie,Waters,Testing,91077.22,69.9780157564133
343,Andrea,Lawson,Testing,348.07,45.24223933191821
344,Robert,Huff,Research,76941.28,49.2909509127085
345,Patrick,Cobb,IT,40330.23,78.79054735267572
346,Lauren,Grant,HR,3415.86,48.362950691654966
347,Ashley,Alexander,Testing,85591.44,49.745843373026084
348,Robert,Brown,HR,38145.38,48.47892485571768
349,Derek,Clark,Research,48039.99,65.10277684464708
350,Jason,Smith,Sales,90846.1,61.58536983955232
351,Hannah,Paul,HR,34602.63,48.091529992667596
352,Edwin,Hurley,IT,62150.6,38.692005103705576
353,Linda,Hayes,Research,83761.34,49.40988017814911
354,Jordan,Gill,HR,83189.66,50.25560953065213
355,Logan,Wolf,Sales,44356.11,68.61445764761302
356,Ashley,Johnson,Research,51453.16,65.90528003993927
357,Stacie,Cohen,IT,42118.46,50.804060661974844
358,Cory,Jones,IT,37838.48,46.778587583752376
359,Derek,Meyers,Testing,7473.37,53.98115336679498
360,Ronald,Mckee,Testing,49249.13,36.989904271051586
361,Michelle,Mcbride,Testing,36502.78,30.462526311586537
362,Robert,Boyd,Sales,15688.83,55.15005004131776
363,Angela,Barnett,Testing,47500.84,58.78828203118657
364,Christian,Bright,Testing,62705.34,60.673278704394484
365,Jessica,Peterson,Sales,45563.46,51.86558973592715
366,Matthew,Perry,Testing,99855.34,46.54793266029735
367,Bryan,Moore,HR,78479.58,49.57586804777084
368,Susan,Smith,HR,89426.6,63.726849607517934
369,Brianna,Dorsey,HR,55941.89,32.71351038575587
370,Larry,Allen,IT,24803.09,47.425891509321175
371,Laura,Ross,HR,84593.55,35.64748505459204
372,Richard,Aguirre,Research,66714.82,54.1295236262193
373,Veronica,Randolph,Research,50945.53,65.32033629722007
374,Linda,Heath,Sales,68925.16,52.98936592349818
375,Christopher,Edwards,HR,5730.62,51.30064937045745
376,Eric,Guerra,Research,34188.83,73.04686992036703
377,Jamie,Martin,HR,85533.0,52.709690864013034
378,Joshua,Wilson,Testing,12635.32,49.87222491878706
379,Whitney,Martinez,Sales,87271.59,33.24189579601321
380,Timothy,Robertson,HR,91366.47,55.54053825675515
381,James,Smith,Sales,54449.55,32.58536049213407
382,Dana,Smith,IT,76444.76,30.082191723952715
383,David,Morris,HR,23125.64,61.206627487198304
384,Melissa,Becker,Research,28678.05,49.12496063701677
385,Eric,Burch,Testing,68350.55,57.41679474707692
386,Gerald,Guerrero,Testing,89570.62,41.52393780187015
387,Danny,Wolf,Sales,60751.87,57.195932131767414
388,Christopher,Harmon,IT,72901.13,28.009178765794246
389,Joshua,Young,Sales,17165.11,60.77770986927943
390,Kelly,Smith,Research,44058.49,42.73025769991799
391,Lisa,Hurley,Testing,80531.45,38.723801590452226
392,Karen,Davis,Sales,86962.75,39.254123218100176
393,Joshua,Wise,Testing,98193.36,47.16971103333962
394,Ronald,Gonzalez,Research,62002.95,68.58074974017381
395,Donald,Mendoza,Testing,54443.91,52.195236891123166
396,Mitchell,Lopez,Research,6342.52,48.19551049548
397,Stephanie,Donovan,IT,89912.45,28.765268629440314
398,Lisa,Marsh,Research,29271.17,51.61453726074524
399,David,Wilkinson,Testing,85634.11,56.641343404613714
400,Tiffany,Bryant,Testing,21407.76,62.53966403757518
401,Christopher,Case,Sales,64726.08,46.67492051896306
402,Sherry,Graham,Testing,42238.5,54.70272955560797
403,Carly,Frye,IT,89270.42,45.45418364602723
404,Mathew,James,Sales,36112.81,49.51227607617542
405,Steven,Lynch,Research,35363.39,41.46016096973679
406,Victoria,Valdez,Testing,56977.3,42.31482007104281
407,Dwayne,Andrews,HR,3434.2,46.359272883502214
408,Erik,Weaver,IT,93669.88,40.74365076057695
409,Andrew,Meyers,Sales,83896.91,53.488779270149294
410,Adam,Morgan,IT,628.65,55.98439652896728
411,Ryan,Davis,Research,95241.28,57.977109823923286
412,Rachel,Thomas,Testing,74407.34,35.37573035351322
413,Claudia,Warren,Sales,82556.55,50.436358340405235
414,Christopher,Carter,Testing,85315.15,51.919128842328064
415,Kevin,Mosley,IT,35039.42,67.77415844729124
416,Ashley,Hall,HR,62006.39,65.79088293930488
417,Jerome,Green,HR,47725.09,37.751565721113955
418,Kenneth,Parker,IT,63963.52,55.744409537427096
419,Rachel,Herrera,Sales,89633.33,49.6897457745791
420,Alyssa,Ibarra,Sales,55122.27,36.82647326317016
421,Emily,Love,Research,84498.44,39.58604267713737
422,Julie,Moreno,IT,32846.92,46.90212346222114
423,Jose,Chavez,Research,73104.05,52.752494885438594
424,Michael,Chen,HR,23799.58,45.09770582086274
425,Douglas,Martinez,IT,25122.35,41.2968403287815
426,Jacob,Brady,IT,37373.35,59.85013684586045
427,James,Brown,HR,83867.02,66.6492250063065
428,Maureen,Adams,Testing,74082.87,42.950055707104454
429,Denise,Rivera,Research,21181.84,49.29220193743535
430,Janice,Sherman,Testing,94292.99,35.71424524379335
431,Amy,Lee,Sales,46709.08,64.40502624271186
432,Megan,Terry,Sales,86697.79,58.79656268062976
433,Robert,West,Research,55191.94,58.26086426095768
434,Sarah,Ramirez,Research,35187.21,49.2264717713831
435,Amy,Yates,HR,5037.85,57.50899158340323
436,Gail,Martin,Sales,6893.28,47.85800600464609
437,Jennifer,Moore,Sales,1036.4,44.852492247063225
438,Samuel,Becker,Research,71726.2,48.31626477892743
439,Teresa,Meyer,Testing,92460.55,39.302060748259024
440,Mark,Oconnor,Research,11534.52,65.7189326750379
441,Mr.,Michael,Testing,92281.15,40.22367457359414
442,Thomas,Mcguire,IT,17304.28,43.653932918298594
443,Alison,Long,Testing,43594.06,58.91336815169449
444,Terri,Thomas,Testing,20271.65,65.47823672509732
445,Rhonda,Hurley,IT,41847.75,47.48003041248392
446,Crystal,Mathis,IT,6716.99,56.02790692472655
447,Samuel,Santiago,Sales,10243.07,57.245662642196024
448,Christina,Hardy,HR,33805.91,52.78980322195431
449,Susan,Duran,HR,79458.12,46.97541985374533
450,Elizabeth,Rice,Testing,5496.67,52.27571051173383
451,Tara,Lozano,Testing,45109.16,47.58455888745721
452,Benjamin,Perry,IT,51111.13,67.34387388008832
453,Angela,Blair,IT,75479.45,47.30681103330884
454,Nancy,Floyd,Research,20811.53,47.19054559615853
455,Matthew,Norman,Sales,27633.91,55.14513949610433
456,Jason,Bush,Testing,52995.17,48.39097575465719
457,Maria,Chapman,Sales,87178.85,29.10819976255918
458,Cassandra,Castro,Sales,5521.52,66.44731648466617
459,Margaret,Anderson,Sales,56386.31,45.86709689350858
460,Joseph,Thompson,IT,66979.03,52.43764138304031
461,Steven,Brown,Research,89869.76,43.86065153337926
462,Ana,Ware,Sales,25533.28,50.57048578692982
463,Mindy,Wells,HR,55169.04,65.7444845125309
464,Travis,Santiago,Sales,79539.54,57.444177731552514
465,Alexis,Holmes,Testing,50722.89,56.944283857662185
466,Julie,Duke,HR,27410.85,43.9929787576318
467,John,Stevenson,HR,59060.12,54.93287042287113
468,Alice,Fernandez,HR,31111.94,41.42396047609084
469,Melissa,Lawrence,IT,93322.73,47.59054988579529
470,Alexander,Middleton,Sales,75199.89,49.09497320516922
471,Ashley,Andrade,Sales,55954.12,52.62494237860417
472,Lisa,Russell,Research,59428.86,48.226389873919764
473,Denise,Powers,HR,16122.47,58.15226263614872
474,Stephen,Sparks,HR,21661.49,49.970722901289356
475,Joseph,Armstrong,Testing,74736.95,44.87252202965396
476,Michelle,Hernandez,IT,40013.58,51.44575780763603
477,Elizabeth,Garcia,HR,32511.25,46.135804212760505
478,Thomas,Carrillo,Research,50213.13,49.596724982888176
479,Robin,Andrade,HR,27091.14,60.967276682117344
480,Tony,Ward,Sales,86586.81,24.047074480097677
481,Jennifer,Goodman,Sales,57538.7,68.76464866912431
482,Richard,Mason,Testing,76572.71,53.45131626156736
483,Jeanne,Charles,Sales,38680.14,61.70003413187895
484,Bill,Cochran,IT,18052.66,73.08315138979394
485,Jill,Sawyer,HR,37173.31,52.41724590992647
486,Ryan,Kent,Sales,15878.8,44.64016922782628
487,Scott,Wilson,HR,59407.29,66.20543724455548
488,Pamela,Manning,HR,15766.86,49.3868801492111
489,April,Guerrero,IT,96056.32,57.935870125896855
490,Adam,Lewis,Testing,74277.52,68.56114826382205
491,Mark,Fischer,IT,26241.18,58.07676398867032
492,Dennis,Gross,Sales,79105.02,51.82017076726159
493,Tiffany,Williams,IT,83739.71,53.0700557571574
494,Janice,Ali,IT,29664.3,41.251494873565946
495,Gary,Franklin,HR,60923.96,42.595069314526334
496,Jeffery,Fry,Sales,82135.12,47.55623316017384
497,Samantha,Woodward,Testing,67264.96,63.8473078287675
498,Angelica,Sanchez,IT,14767.23,48.25486808466276
499,Sandra,Gonzalez,Testing,7455.71,57.043820077624616
500,Maria,Williams,HR,65720.43,33.50800998724077
501,Brian,Booker,Sales,21396.06,39.45752632604349
502,Dennis,Evans,Testing,86203.25,49.630795052192695
503,Amanda,Garrett,HR,25684.99,41.0244765560383
504,Karen,Watson,HR,10928.93,46.070234838998616
505,Christopher,Haynes,HR,70490.57,47.75194562988256
